Tarih,Enflasyon
1,1.35
2,0.35
3,-0.57
4,0.85
5,1.36
6,1.13
7,0.58
8,0.86
9,0.97
10,2.13
11,2.30
12,1.25
13,1.68
14,0.91
15,1.08
16,1.68
17,-0.89
18,1.94
19,1.80
20,1.12
21,1.25
22,2.39
23,3.51
24,13.58
25,11.10
26,4.81
27,5.46
28,7.25
29,2.98
30,4.95
31,2.37
32,1.46
33,3.08
34,3.54
35,-2.88
36,1.18
37,6.65
38,3.15
39,2.29
40,2.39
41,0.04
42,3.92
43,9.49
44,9.09
45,4.75
46,3.43
47,3.28
48,2.93
49,6.70
50,4.53
51,3.16
52,3.18
53,3.37
54,1.64
55,3.23
56,2.47
57,2.97
58,2.88
59,2.24
60,1.03
61,5.03
62,2.27
63,2.46
64,3.00
65,1.53
66,1.37
67,2.06
