Tarih,Faiz
1,11.25
2,10.75
3,9.75
4,8.75
5,8.25
6,8.25
7,8.25
8,8.25
9,10.25
10,10.25
11,15.00
12,17.00
13,17.00
14,17.00
15,19.00
16,19.00
17,19.00
18,19.00
19,19.00
20,19.00
21,18.00
22,16.00
23,15.00
24,14.00
25,14.00
26,14.00
27,14.00
28,14.00
29,14.00
30,14.00
31,14.00
32,13.00
33,12.00
34,10.50
35,9.00
36,9.00
37,9.00
38,9.00
39,9.00
40,9.00
41,8.50
42,15.00
43,17.50
44,25.00
45,30.00
46,35.00
47,40.00
48,42.50
49,45.00
50,45.00
51,50.00
52,50.00
53,50.00
54,50.00
55,50.00
56,50.00
57,50.00
58,50.00
59,50.00
60,50.00
61,50.00
62,50.00
63,50.00
64,50.00
65,50.00
66,50.00
67,50.00
