Tarih,Enflasyon,Faiz,Dolar
1,1.35,11.25,-0.33
2,0.35,10.75,1.85
3,-0.57,9.75,4.96
4,0.85,8.75,8.50
5,1.36,8.25,0.87
6,1.13,8.25,-1.4
7,0.58,8.25,1.02
8,0.86,8.25,6.36
9,0.97,10.25,3.63
10,2.13,10.25,6.42
11,2.30,15.00,-3.4
12,1.25,17.00,-5.1
13,1.68,17.00,0.00
14,0.91,17.00,-2.6
15,1.08,19.00,12.7
16,1.68,19.00,1.47
17,-0.89,19.00,3.14
18,1.94,19.00,1.76
19,1.80,19.00,0.23
20,1.12,19.00,-3.2
21,1.25,18.00,4.51
22,2.39,16.00,6.48
23,3.51,15.00,28.7
24,13.58,14.00,10.3
25,11.10,14.00,1.43
26,4.81,14.00,1.19
27,5.46,14.00,7.82
28,7.25,14.00,0.81
29,2.98,14.00,9.07
30,4.95,14.00,6.41
31,2.37,14.00,4.44
32,1.46,13.00,1.17
33,3.08,12.00,1.21
34,3.54,10.50,1.14
35,-2.88,9.00,0.27
36,1.18,9.00,0.16
37,6.65,9.00,0.48
38,3.15,9.00,0.69
39,2.29,9.00,1.22
40,2.39,9.00,1.41
41,0.04,8.50,2.37
42,3.92,15.00,16.5
43,9.49,17.50,12.4
44,9.09,25.00,3.46
45,4.75,30.00,0.33
46,3.43,35.00,3.68
47,3.28,40.00,2.78
48,2.93,42.50,2.54
49,6.70,45.00,2.28
50,4.53,45.00,2.11
51,3.16,50.00,4.90
52,3.18,50.00,0.46
53,3.37,50.00,0.77
54,1.64,50.00,0.46
55,3.23,50.00,0.61
56,2.47,50.00,1.27
57,2.97,50.00,1.58
58,2.88,50.00,2.13
59,2.24,50.00,0.78
60,1.03,50.00,1.03
61,5.03,50.00,1.28
62,2.27,50.00,3.45
63,2.46,50.00,2.70
64,3.00,50.00,2.02
65,1.53,50.00,0.49
66,1.37,50.00,2.79
67,2.06,50.00,3.05
